Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw
1990,1990-06-08,Italy,Milan,Group Stage,Argentina,Cameroon,0,1,0,0,0,Cameroon,0
1990,1990-06-09,Italy,Rome,Group Stage,Italy,Austria,1,0,0,0,0,Italy,0
1990,1990-06-09,Italy,Bari,Group Stage,Soviet Union,Romania,0,2,0,0,0,Romania,0
1990,1990-06-09,Italy,Bologna,Group Stage,United Arab Emirates,Colombia,0,2,0,0,0,Colombia,0
1990,1990-06-10,Italy,Turin,Group Stage,Brazil,Sweden,2,1,0,0,0,Brazil,0
1990,1990-06-10,Italy,Florence,Group Stage,United States,Czechoslovakia,1,5,0,0,0,Czechoslovakia,0
1990,1990-06-10,Italy,Milan,Group Stage,West Germany,Yugoslavia,4,1,0,0,0,West Germany,0
1990,1990-06-11,Italy,Genoa,Group Stage,Costa Rica,Scotland,1,0,0,0,0,Costa Rica,0
1990,1990-06-11,Italy,Cagliari,Group Stage,England,Republic of Ireland,1,1,0,0,0,,1
1990,1990-06-12,Italy,Verona,Group Stage,Belgium,South Korea,2,0,0,0,0,Belgium,0
1990,1990-06-12,Italy,Palermo,Group Stage,Netherlands,Egypt,1,1,0,0,0,,1
1990,1990-06-13,Italy,Naples,Group Stage,Argentina,Soviet Union,2,0,0,0,0,Argentina,0
1990,1990-06-13,Italy,Udine,Group Stage,Uruguay,Spain,0,0,0,0,0,,1
1990,1990-06-14,Italy,Bari,Group Stage,Cameroon,Romania,2,1,0,0,0,Cameroon,0
1990,1990-06-14,Italy,Rome,Group Stage,Italy,United States,1,0,0,0,0,Italy,0
1990,1990-06-14,Italy,Bologna,Group Stage,Yugoslavia,Colombia,1,0,0,0,0,Yugoslavia,0
1990,1990-06-15,Italy,Florence,Group Stage,Austria,Czechoslovakia,0,1,0,0,0,Czechoslovakia,0
1990,1990-06-15,Italy,Milan,Group Stage,West Germany,United Arab Emirates,5,1,0,0,0,West Germany,0
1990,1990-06-16,Italy,Turin,Group Stage,Brazil,Costa Rica,1,0,0,0,0,Brazil,0
1990,1990-06-16,Italy,Cagliari,Group Stage,England,Netherlands,0,0,0,0,0,,1
1990,1990-06-16,Italy,Genoa,Group Stage,Sweden,Scotland,1,2,0,0,0,Scotland,0
1990,1990-06-17,Italy,Verona,Group Stage,Belgium,Uruguay,3,1,0,0,0,Belgium,0
1990,1990-06-17,Italy,Palermo,Group Stage,Republic of Ireland,Egypt,0,0,0,0,0,,1
1990,1990-06-17,Italy,Udine,Group Stage,South Korea,Spain,1,3,0,0,0,Spain,0
1990,1990-06-18,Italy,Naples,Group Stage,Argentina,Romania,1,1,0,0,0,,1
1990,1990-06-18,Italy,Bari,Group Stage,Cameroon,Soviet Union,0,4,0,0,0,Soviet Union,0
1990,1990-06-19,Italy,Florence,Group Stage,Austria,United States,2,1,0,0,0,Austria,0
1990,1990-06-19,Italy,Rome,Group Stage,Italy,Czechoslovakia,2,0,0,0,0,Italy,0
1990,1990-06-19,Italy,Milan,Group Stage,West Germany,Colombia,1,1,0,0,0,,1
1990,1990-06-19,Italy,Bologna,Group Stage,Yugoslavia,United Arab Emirates,4,1,0,0,0,Yugoslavia,0
1990,1990-06-20,Italy,Turin,Group Stage,Brazil,Scotland,1,0,0,0,0,Brazil,0
1990,1990-06-20,Italy,Genoa,Group Stage,Sweden,Costa Rica,1,2,0,0,0,Costa Rica,0
1990,1990-06-21,Italy,Verona,Group Stage,Belgium,Spain,1,2,0,0,0,Spain,0
1990,1990-06-21,Italy,Cagliari,Group Stage,England,Egypt,1,0,0,0,0,England,0
1990,1990-06-21,Italy,Palermo,Group Stage,Republic of Ireland,Netherlands,1,1,0,0,0,,1
1990,1990-06-21,Italy,Udine,Group Stage,South Korea,Uruguay,0,1,0,0,0,Uruguay,0
1990,1990-06-23,Italy,Naples,Round of 16,Cameroon,Colombia,2,1,0,0,0,Cameroon,0
1990,1990-06-23,Italy,Bari,Round of 16,Czechoslovakia,Costa Rica,4,1,0,0,0,Czechoslovakia,0
1990,1990-06-24,Italy,Turin,Round of 16,Brazil,Argentina,0,1,0,0,0,Argentina,0
1990,1990-06-24,Italy,Milan,Round of 16,West Germany,Netherlands,2,1,0,0,0,West Germany,0
1990,1990-06-25,Italy,Rome,Round of 16,Italy,Uruguay,2,0,0,0,0,Italy,0
1990,1990-06-25,Italy,Genoa,Round of 16,Republic of Ireland,Romania,0,0,1,5,4,Republic of Ireland,1
1990,1990-06-26,Italy,Bologna,Round of 16,England,Belgium,1,0,0,0,0,England,0
1990,1990-06-26,Italy,Verona,Round of 16,Spain,Yugoslavia,1,2,0,0,0,Yugoslavia,0
1990,1990-06-30,Italy,Florence,Quarter-final,Argentina,Yugoslavia,0,0,1,3,2,Argentina,1
1990,1990-06-30,Italy,Rome,Quarter-final,Republic of Ireland,Italy,0,1,0,0,0,Italy,0
1990,1990-07-01,Italy,Naples,Quarter-final,Cameroon,England,2,3,0,0,0,England,0
1990,1990-07-01,Italy,Milan,Quarter-final,Czechoslovakia,West Germany,0,1,0,0,0,West Germany,0
1990,1990-07-03,Italy,Naples,Semi-final,Argentina,Italy,1,1,1,4,3,Argentina,1
1990,1990-07-04,Italy,Turin,Semi-final,West Germany,England,1,1,1,4,3,West Germany,1
1990,1990-07-07,Italy,Bari,Third place play-off,Italy,England,2,1,0,0,0,Italy,0
1990,1990-07-08,Italy,Rome,Final,West Germany,Argentina,1,0,0,0,0,West Germany,0
