Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw
2014,2014-06-12,Brazil,São Paulo,Group Stage,Brazil,Croatia,3,1,0,0,0,Brazil,0
2014,2014-06-13,Brazil,Cuiabá,Group Stage,Chile,Australia,3,1,0,0,0,Chile,0
2014,2014-06-13,Brazil,Natal,Group Stage,Mexico,Cameroon,1,0,0,0,0,Mexico,0
2014,2014-06-13,Brazil,Salvador,Group Stage,Spain,Netherlands,1,5,0,0,0,Netherlands,0
2014,2014-06-14,Brazil,Belo Horizonte,Group Stage,Colombia,Greece,3,0,0,0,0,Colombia,0
2014,2014-06-14,Brazil,Manaus,Group Stage,England,Italy,1,2,0,0,0,Italy,0
2014,2014-06-14,Brazil,Recife,Group Stage,Ivory Coast,Japan,2,1,0,0,0,Ivory Coast,0
2014,2014-06-14,Brazil,Fortaleza,Group Stage,Uruguay,Costa Rica,1,3,0,0,0,Costa Rica,0
2014,2014-06-15,Brazil,Rio de Janeiro,Group Stage,Argentina,Bosnia and Herzegovina,2,1,0,0,0,Argentina,0
2014,2014-06-15,Brazil,Porto Alegre,Group Stage,France,Honduras,3,0,0,0,0,France,0
2014,2014-06-15,Brazil,Brasília,Group Stage,Switzerland,Ecuador,2,1,0,0,0,Switzerland,0
2014,2014-06-16,Brazil,Salvador,Group Stage,Germany,Portugal,4,0,0,0,0,Germany,0
2014,2014-06-16,Brazil,Natal,Group Stage,Ghana,United States,1,2,0,0,0,United States,0
2014,2014-06-16,Brazil,Curitiba,Group Stage,Iran,Nigeria,0,0,0,0,0,,1
2014,2014-06-17,Brazil,Belo Horizonte,Group Stage,Belgium,Algeria,2,1,0,0,0,Belgium,0
2014,2014-06-17,Brazil,Fortaleza,Group Stage,Brazil,Mexico,0,0,0,0,0,,1
2014,2014-06-17,Brazil,Cuiabá,Group Stage,Russia,South Korea,1,1,0,0,0,,1
2014,2014-06-18,Brazil,Porto Alegre,Group Stage,Australia,Netherlands,2,3,0,0,0,Netherlands,0
2014,2014-06-18,Brazil,Manaus,Group Stage,Cameroon,Croatia,0,4,0,0,0,Croatia,0
2014,2014-06-18,Brazil,Rio de Janeiro,Group Stage,Spain,Chile,0,2,0,0,0,Chile,0
2014,2014-06-19,Brazil,Brasília,Group Stage,Colombia,Ivory Coast,2,1,0,0,0,Colombia,0
2014,2014-06-19,Brazil,Natal,Group Stage,Japan,Greece,0,0,0,0,0,,1
2014,2014-06-19,Brazil,São Paulo,Group Stage,Uruguay,England,2,1,0,0,0,Uruguay,0
2014,2014-06-20,Brazil,Curitiba,Group Stage,Honduras,Ecuador,1,2,0,0,0,Ecuador,0
2014,2014-06-20,Brazil,Recife,Group Stage,Italy,Costa Rica,0,1,0,0,0,Costa Rica,0
2014,2014-06-20,Brazil,Salvador,Group Stage,Switzerland,France,2,5,0,0,0,France,0
2014,2014-06-21,Brazil,Belo Horizonte,Group Stage,Argentina,Iran,1,0,0,0,0,Argentina,0
2014,2014-06-21,Brazil,Fortaleza,Group Stage,Germany,Ghana,2,2,0,0,0,,1
