Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw
1974,1974-06-13,West Germany,Frankfurt,Group Stage,Brazil,Yugoslavia,0,0,0,0,0,,1
1974,1974-06-14,West Germany,Hamburg,Group Stage,East Germany,Australia,2,0,0,0,0,East Germany,0
1974,1974-06-14,West Germany,West Berlin,Group Stage,West Germany,Chile,1,0,0,0,0,West Germany,0
1974,1974-06-14,West Germany,Dortmund,Group Stage,Zaire,Scotland,0,2,0,0,0,Scotland,0
1974,1974-06-15,West Germany,Munich,Group Stage,Italy,Haiti,3,1,0,0,0,Italy,0
1974,1974-06-15,West Germany,Stuttgart,Group Stage,Poland,Argentina,3,2,0,0,0,Poland,0
1974,1974-06-15,West Germany,Düsseldorf,Group Stage,Sweden,Bulgaria,0,0,0,0,0,,1
1974,1974-06-15,West Germany,Hanover,Group Stage,Uruguay,Netherlands,0,2,0,0,0,Netherlands,0
1974,1974-06-18,West Germany,Hamburg,Group Stage,Australia,West Germany,0,3,0,0,0,West Germany,0
1974,1974-06-18,West Germany,West Berlin,Group Stage,Chile,East Germany,1,1,0,0,0,,1
1974,1974-06-18,West Germany,Frankfurt,Group Stage,Scotland,Brazil,0,0,0,0,0,,1
1974,1974-06-18,West Germany,Gelsenkirchen,Group Stage,Yugoslavia,Zaire,9,0,0,0,0,Yugoslavia,0
1974,1974-06-19,West Germany,Stuttgart,Group Stage,Argentina,Italy,1,1,0,0,0,,1
1974,1974-06-19,West Germany,Hanover,Group Stage,Bulgaria,Uruguay,1,1,0,0,0,,1
1974,1974-06-19,West Germany,Munich,Group Stage,Haiti,Poland,0,7,0,0,0,Poland,0
1974,1974-06-19,West Germany,Dortmund,Group Stage,Netherlands,Sweden,0,0,0,0,0,,1
1974,1974-06-22,West Germany,West Berlin,Group Stage,Australia,Chile,0,0,0,0,0,,1
1974,1974-06-22,West Germany,Hamburg,Group Stage,East Germany,West Germany,1,0,0,0,0,East Germany,0
1974,1974-06-22,West Germany,Frankfurt,Group Stage,Scotland,Yugoslavia,1,1,0,0,0,,1
1974,1974-06-22,West Germany,Gelsenkirchen,Group Stage,Zaire,Brazil,0,3,0,0,0,Brazil,0
1974,1974-06-23,West Germany,Munich,Group Stage,Argentina,Haiti,4,1,0,0,0,Argentina,0
1974,1974-06-23,West Germany,Dortmund,Group Stage,Bulgaria,Netherlands,1,4,0,0,0,Netherlands,0
1974,1974-06-23,West Germany,Stuttgart,Group Stage,Poland,Italy,2,1,0,0,0,Poland,0
1974,1974-06-23,West Germany,Düsseldorf,Group Stage,Sweden,Uruguay,3,0,0,0,0,Sweden,0
1974,1974-06-26,West Germany,Hanover,Group Stage,Brazil,East Germany,1,0,0,0,0,Brazil,0
1974,1974-06-26,West Germany,Gelsenkirchen,Group Stage,Netherlands,Argentina,4,0,0,0,0,Netherlands,0
1974,1974-06-26,West Germany,Stuttgart,Group Stage,Sweden,Poland,0,1,0,0,0,Poland,0
1974,1974-06-26,West Germany,Düsseldorf,Group Stage,Yugoslavia,West Germany,0,2,0,0,0,West Germany,0
1974,1974-06-30,West Germany,Hanover,Group Stage,Argentina,Brazil,1,2,0,0,0,Brazil,0
1974,1974-06-30,West Germany,Gelsenkirchen,Group Stage,East Germany,Netherlands,0,2,0,0,0,Netherlands,0
1974,1974-06-30,West Germany,Frankfurt,Group Stage,Poland,Yugoslavia,2,1,0,0,0,Poland,0
1974,1974-06-30,West Germany,Düsseldorf,Group Stage,West Germany,Sweden,4,2,0,0,0,West Germany,0
1974,1974-07-03,West Germany,Gelsenkirchen,Group Stage,Argentina,East Germany,1,1,0,0,0,,1
1974,1974-07-03,West Germany,Dortmund,Group Stage,Netherlands,Brazil,2,0,0,0,0,Netherlands,0
1974,1974-07-03,West Germany,Frankfurt,Group Stage,Poland,West Germany,0,1,0,0,0,West Germany,0
1974,1974-07-03,West Germany,Düsseldorf,Group Stage,Sweden,Yugoslavia,2,1,0,0,0,Sweden,0
1974,1974-07-06,West Germany,Munich,Third place play-off,Brazil,Poland,0,1,0,0,0,Poland,0
1974,1974-07-07,West Germany,Munich,Final,Netherlands,West Germany,1,2,0,0,0,West Germany,0
