Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw
1970,1970-05-31,Mexico,Mexico City,Group Stage,Mexico,Soviet Union,0,0,0,0,0,,1
1970,1970-06-02,Mexico,Guadalajara,Group Stage,England,Romania,1,0,0,0,0,England,0
1970,1970-06-02,Mexico,León,Group Stage,Peru,Bulgaria,3,2,0,0,0,Peru,0
1970,1970-06-02,Mexico,Puebla,Group Stage,Uruguay,Israel,2,0,0,0,0,Uruguay,0
1970,1970-06-03,Mexico,Mexico City,Group Stage,Belgium,El Salvador,3,0,0,0,0,Belgium,0
1970,1970-06-03,Mexico,Guadalajara,Group Stage,Brazil,Czechoslovakia,4,1,0,0,0,Brazil,0
1970,1970-06-03,Mexico,Toluca,Group Stage,Italy,Sweden,1,0,0,0,0,Italy,0
1970,1970-06-03,Mexico,León,Group Stage,West Germany,Morocco,2,1,0,0,0,West Germany,0
1970,1970-06-06,Mexico,León,Group Stage,Peru,Morocco,3,0,0,0,0,Peru,0
1970,1970-06-06,Mexico,Guadalajara,Group Stage,Romania,Czechoslovakia,2,1,0,0,0,Romania,0
1970,1970-06-06,Mexico,Mexico City,Group Stage,Soviet Union,Belgium,4,1,0,0,0,Soviet Union,0
1970,1970-06-06,Mexico,Puebla,Group Stage,Uruguay,Italy,0,0,0,0,0,,1
1970,1970-06-07,Mexico,Guadalajara,Group Stage,Brazil,England,1,0,0,0,0,Brazil,0
1970,1970-06-07,Mexico,Mexico City,Group Stage,Mexico,El Salvador,4,0,0,0,0,Mexico,0
1970,1970-06-07,Mexico,Toluca,Group Stage,Sweden,Israel,1,1,0,0,0,,1
1970,1970-06-07,Mexico,León,Group Stage,West Germany,Bulgaria,5,2,0,0,0,West Germany,0
1970,1970-06-10,Mexico,Guadalajara,Group Stage,Brazil,Romania,3,2,0,0,0,Brazil,0
1970,1970-06-10,Mexico,Mexico City,Group Stage,Soviet Union,El Salvador,2,0,0,0,0,Soviet Union,0
1970,1970-06-10,Mexico,Puebla,Group Stage,Sweden,Uruguay,1,0,0,0,0,Sweden,0
1970,1970-06-10,Mexico,León,Group Stage,West Germany,Peru,3,1,0,0,0,West Germany,0
1970,1970-06-11,Mexico,León,Group Stage,Bulgaria,Morocco,1,1,0,0,0,,1
1970,1970-06-11,Mexico,Guadalajara,Group Stage,England,Czechoslovakia,1,0,0,0,0,England,0
1970,1970-06-11,Mexico,Toluca,Group Stage,Italy,Israel,0,0,0,0,0,,1
1970,1970-06-11,Mexico,Mexico City,Group Stage,Mexico,Belgium,1,0,0,0,0,Mexico,0
1970,1970-06-14,Mexico,Guadalajara,Quarter-final,Brazil,Peru,4,2,0,0,0,Brazil,0
1970,1970-06-14,Mexico,Toluca,Quarter-final,Italy,Mexico,4,1,0,0,0,Italy,0
1970,1970-06-14,Mexico,Mexico City,Quarter-final,Soviet Union,Uruguay,0,1,0,0,0,Uruguay,0
1970,1970-06-14,Mexico,León,Quarter-final,West Germany,England,3,2,0,0,0,West Germany,0
1970,1970-06-17,Mexico,Guadalajara [ a ],Semi-final,Brazil,Uruguay,3,1,0,0,0,Brazil,0
1970,1970-06-17,Mexico,Mexico City,Semi-final,Italy,West Germany,4,3,0,0,0,Italy,0
1970,1970-06-20,Mexico,Mexico City,Third place play-off,West Germany,Uruguay,1,0,0,0,0,West Germany,0
1970,1970-06-21,Mexico,Mexico City,Final,Brazil,Italy,4,1,0,0,0,Brazil,0
