City,Year,Start_Date,End_Date,Avg_Temp_C
Niigata,2002,2002-06-01,2002-06-15,19.8
Nizhny Novgorod,2018,2018-06-18,2018-07-06,21.7
Norrköping,1958,1958-06-08,1958-06-19,13.5
Nuremberg,2006,2006-06-11,2006-06-25,20.8
Orlando,1994,1994-06-19,1994-07-04,26.6
Osaka,2002,2002-06-12,2002-06-22,23.2
Oviedo,1982,1982-06-17,1982-06-24,16.6
Palermo,1990,1990-06-12,1990-06-21,23.8
Paris,1938,1938-06-04,1938-06-19,19.5
Paris,1998,1998-06-15,1998-07-11,17.4
Pasadena,1994,1994-06-18,1994-07-17,23.6
Polokwane,2010,2010-06-13,2010-06-24,10.7
Pontiac,1994,1994-06-18,1994-06-28,21.7
Port Elizabeth,2010,2010-06-12,2010-07-10,15.8
Porto Alegre,1950,1950-06-28,1950-07-02,14.1
Porto Alegre,2014,2014-06-15,2014-06-30,14.7
Pretoria,2010,2010-06-13,2010-06-29,9.7
Puebla,1970,1970-06-02,1970-06-10,17.1
Puebla,1986,1986-06-05,1986-06-28,16.7
Querétaro,1986,1986-06-04,1986-06-18,18.8
Rancagua,1962,1962-05-30,1962-06-10,7.5
Recife,1950,1950-07-02,1950-07-02,24.5
Recife,2014,2014-06-14,2014-06-29,24.9
Reims,1938,1938-06-05,1938-06-05,20.2
Rifu,2002,2002-06-18,2002-06-18,17.4
Rio de Janeiro,1950,1950-06-24,1950-07-16,19.4
Rio de Janeiro,2014,2014-06-15,2014-07-13,21.1
Rome,1934,1934-05-27,1934-06-10,19.6
Rome,1990,1990-06-09,1990-07-08,22.3
Rosario,1978,1978-06-02,1978-06-21,10.1
Rostov-on-Don,2018,2018-06-17,2018-07-02,26.5
Rustenburg,2010,2010-06-12,2010-06-26,10.0
Saint Petersburg,2018,2018-06-15,2018-07-14,17.0
Saint-Denis,1998,1998-06-10,1998-07-12,17.0
Saint-Étienne,1998,1998-06-14,1998-06-30,17.6
Saitama,2002,2002-06-02,2002-06-26,20.7
Salvador,2014,2014-06-13,2014-07-05,23.7
Samara,2018,2018-06-17,2018-07-07,23.8
San Nicolás de los Garza,1986,1986-06-02,1986-06-21,25.0
Sandviken,1958,1958-06-08,1958-06-15,10.6
Santiago,1962,1962-05-30,1962-06-17,8.7
Sapporo,2002,2002-06-01,2002-06-07,14.9
Saransk,2018,2018-06-16,2018-06-28,21.1
Seogwipo,2002,2002-06-08,2002-06-15,23.1
Seoul,2002,2002-05-31,2002-06-25,20.7
Seville,1982,1982-06-14,1982-07-08,26.0
Sheffield,1966,1966-07-12,1966-07-23,14.8
Shizuoka,2002,2002-06-11,2002-06-14,21.8
Sochi,2018,2018-06-15,2018-07-07,24.3
Solna,1958,1958-06-08,1958-06-29,13.0
Stanford,1994,1994-06-20,1994-07-10,17.4
Strasbourg,1938,1938-06-05,1938-06-05,19.5
Stuttgart,1974,1974-06-15,1974-06-26,16.8
Stuttgart,2006,2006-06-13,2006-07-08,21.0
Sunderland,1966,1966-07-13,1966-07-23,14.1
Suwon,2002,2002-06-05,2002-06-16,20.5
São Paulo,1950,1950-06-25,1950-07-16,15.0
São Paulo,2014,2014-06-12,2014-07-09,17.8
Toluca,1970,1970-06-03,1970-06-14,13.7
Toluca,1986,1986-06-04,1986-06-11,13.5
Toulouse,1938,1938-06-05,1938-06-09,20.1
Toulouse,1998,1998-06-11,1998-06-29,19.2
Trieste,1934,1934-05-27,1934-05-27,19.5
Turin,1934,1934-05-27,1934-05-31,19.4
Turin,1990,1990-06-10,1990-07-04,19.1
Uddevalla,1958,1958-06-08,1958-06-08,14.2
Udine,1990,1990-06-13,1990-06-21,17.1
Ulsan,2002,2002-06-01,2002-06-21,21.9
Valencia,1982,1982-06-16,1982-06-25,25.1
Valladolid,1982,1982-06-17,1982-06-24,19.4
Verona,1990,1990-06-12,1990-06-26,20.6
Vigo,1982,1982-06-14,1982-06-23,16.8
Viña del Mar,1962,1962-05-30,1962-06-13,12.2
Volgograd,2018,2018-06-18,2018-06-28,28.1
Västerås,1958,1958-06-08,1958-06-11,11.4
West Berlin,1974,1974-06-14,1974-06-22,16.2
Yekaterinburg,2018,2018-06-15,2018-06-27,16.2
Yokohama,2002,2002-06-09,2002-06-30,20.4
Zapopan,1986,1986-06-03,1986-06-11,22.9
Zaragoza,1982,1982-06-17,1982-06-24,25.6
Zürich,1954,1954-06-16,1954-07-03,16.7
Örebro,1958,1958-06-15,1958-06-15,15.0
Ōita,2002,2002-06-10,2002-06-16,24.0
