Team,A1_Win_Prob,A2_Win_Prob,Delta_pp,Z_stat,P_value,Significant
Spain,8.04,17.36,9.32,62.59,0.0,True
Argentina,7.03,13.83,6.8,49.74,0.0,True
France,6.36,10.62,4.26,34.18,0.0,True
Brazil,4.51,6.14,1.63,16.23,0.0,True
Czech Republic,1.36,0.35,-1.01,-24.53,0.0,True
Canada,1.99,0.8,-1.19,-22.68,0.0,True
Croatia,2.36,1.1,-1.26,-21.6,0.0,True
