Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw
1950,1950-06-28,Brazil,Porto Alegre,Group Stage,Yugoslavia,Mexico,4,1,0,0,0,Yugoslavia,0
1950,1950-06-29,Brazil,Rio de Janeiro,Group Stage,Spain,Chile,2,0,0,0,0,Spain,0
1950,1950-06-29,Brazil,Curitiba,Group Stage,Sweden,Paraguay,2,2,0,0,0,,1
1950,1950-06-29,Brazil,Belo Horizonte,Group Stage,United States,England,1,0,0,0,0,United States,0
1950,1950-07-01,Brazil,Rio de Janeiro,Group Stage,Brazil,Yugoslavia,2,0,0,0,0,Brazil,0
1950,1950-07-02,Brazil,Recife,Group Stage,Chile,United States,5,2,0,0,0,Chile,0
1950,1950-07-02,Brazil,São Paulo,Group Stage,Italy,Paraguay,2,0,0,0,0,Italy,0
1950,1950-07-02,Brazil,Rio de Janeiro,Group Stage,Spain,England,1,0,0,0,0,Spain,0
1950,1950-07-02,Brazil,Porto Alegre,Group Stage,Switzerland,Mexico,2,1,0,0,0,Switzerland,0
1950,1950-07-02,Brazil,Belo Horizonte,Group Stage,Uruguay,Bolivia,8,0,0,0,0,Uruguay,0
1950,1950-07-09,Brazil,Rio de Janeiro,Final round,Brazil,Sweden,7,1,0,0,0,Brazil,0
1950,1950-07-09,Brazil,São Paulo,Final round,Uruguay,Spain,2,2,0,0,0,,1
1950,1950-07-13,Brazil,Rio de Janeiro,Final round,Brazil,Spain,6,1,0,0,0,Brazil,0
1950,1950-07-13,Brazil,São Paulo,Final round,Uruguay,Sweden,3,2,0,0,0,Uruguay,0
1950,1950-07-16,Brazil,São Paulo,Final round,Sweden,Spain,3,1,0,0,0,Sweden,0
1950,1950-07-16,Brazil,Rio de Janeiro,Final round,Uruguay,Brazil,2,1,0,0,0,Uruguay,0
1954,1954-06-16,Switzerland,Zürich,Group Stage,Austria,Scotland,1,0,0,0,0,Austria,0
1954,1954-06-16,Switzerland,Geneva,Group Stage,Brazil,Mexico,5,0,0,0,0,Brazil,0
1954,1954-06-16,Switzerland,Bern,Group Stage,Uruguay,Czechoslovakia,2,0,0,0,0,Uruguay,0
1954,1954-06-16,Switzerland,Lausanne,Group Stage,Yugoslavia,France,1,0,0,0,0,Yugoslavia,0
1954,1954-06-17,Switzerland,Basel,Group Stage,England,Belgium,4,4,0,0,0,,1
1954,1954-06-17,Switzerland,Zürich,Group Stage,Hungary,South Korea,9,0,0,0,0,Hungary,0
1954,1954-06-17,Switzerland,Lausanne,Group Stage,Switzerland,Italy,2,1,0,0,0,Switzerland,0
1954,1954-06-17,Switzerland,Bern,Group Stage,West Germany,Turkey,4,1,0,0,0,West Germany,0
1954,1954-06-19,Switzerland,Zürich,Group Stage,Austria,Czechoslovakia,5,0,0,0,0,Austria,0
1954,1954-06-19,Switzerland,Lausanne,Group Stage,Brazil,Yugoslavia,1,1,0,0,0,,1
1954,1954-06-19,Switzerland,Geneva,Group Stage,France,Mexico,3,2,0,0,0,France,0
1954,1954-06-19,Switzerland,Basel,Group Stage,Uruguay,Scotland,7,0,0,0,0,Uruguay,0
1954,1954-06-20,Switzerland,Bern,Group Stage,England,Switzerland,2,0,0,0,0,England,0
1954,1954-06-20,Switzerland,Basel,Group Stage,Hungary,West Germany,8,3,0,0,0,Hungary,0
1954,1954-06-20,Switzerland,Lugano,Group Stage,Italy,Belgium,4,1,0,0,0,Italy,0
1954,1954-06-20,Switzerland,Geneva,Group Stage,Turkey,South Korea,7,0,0,0,0,Turkey,0
1954,1954-06-23,Switzerland,Basel,Play-off,Switzerland,Italy,4,1,0,0,0,Switzerland,0
1954,1954-06-23,Switzerland,Zürich,Play-off,West Germany,Turkey,7,2,0,0,0,West Germany,0
1954,1954-06-26,Switzerland,Lausanne,Quarter-final,Austria,Switzerland,7,5,0,0,0,Austria,0
1954,1954-06-26,Switzerland,Basel,Quarter-final,Uruguay,England,4,2,0,0,0,Uruguay,0
1954,1954-06-27,Switzerland,Bern,Quarter-final,Hungary,Brazil,4,2,0,0,0,Hungary,0
1954,1954-06-27,Switzerland,Geneva,Quarter-final,West Germany,Yugoslavia,2,0,0,0,0,West Germany,0
1954,1954-06-30,Switzerland,Lausanne,Semi-final,Hungary,Uruguay,4,2,0,0,0,Hungary,0
1954,1954-06-30,Switzerland,Basel,Semi-final,West Germany,Austria,6,1,0,0,0,West Germany,0
1954,1954-07-03,Switzerland,Zürich,Third place play-off,Austria,Uruguay,3,1,0,0,0,Austria,0
1954,1954-07-04,Switzerland,Bern,Final,West Germany,Hungary,3,2,0,0,0,West Germany,0
1958,1958-06-08,Sweden,Malmö,Group Stage,Argentina,West Germany,1,3,0,0,0,West Germany,0
1958,1958-06-08,Sweden,Uddevalla,Group Stage,Brazil,Austria,3,0,0,0,0,Brazil,0
1958,1958-06-08,Sweden,Norrköping,Group Stage,France,Paraguay,7,3,0,0,0,France,0
1958,1958-06-08,Sweden,Sandviken,Group Stage,Hungary,Wales,1,1,0,0,0,,1
1958,1958-06-08,Sweden,Halmstad,Group Stage,Northern Ireland,Czechoslovakia,1,0,0,0,0,Northern Ireland,0
1958,1958-06-08,Sweden,Gothenburg,Group Stage,Soviet Union,England,2,2,0,0,0,,1
1958,1958-06-08,Sweden,Solna,Group Stage,Sweden,Mexico,3,0,0,0,0,Sweden,0
1958,1958-06-08,Sweden,Västerås,Group Stage,Yugoslavia,Scotland,1,1,0,0,0,,1
1958,1958-06-11,Sweden,Halmstad,Group Stage,Argentina,Northern Ireland,3,1,0,0,0,Argentina,0
1958,1958-06-11,Sweden,Gothenburg,Group Stage,Brazil,England,0,0,0,0,0,,1
1958,1958-06-11,Sweden,Solna,Group Stage,Mexico,Wales,1,1,0,0,0,,1
1958,1958-06-11,Sweden,Norrköping,Group Stage,Paraguay,Scotland,3,2,0,0,0,Paraguay,0
1958,1958-06-11,Sweden,Borås,Group Stage,Soviet Union,Austria,2,0,0,0,0,Soviet Union,0
1958,1958-06-11,Sweden,Helsingborg,Group Stage,West Germany,Czechoslovakia,2,2,0,0,0,,1
1958,1958-06-11,Sweden,Västerås,Group Stage,Yugoslavia,France,3,2,0,0,0,Yugoslavia,0
1958,1958-06-12,Sweden,Solna,Group Stage,Sweden,Hungary,2,1,0,0,0,Sweden,0
1958,1958-06-15,Sweden,Gothenburg,Group Stage,Brazil,Soviet Union,2,0,0,0,0,Brazil,0
1958,1958-06-15,Sweden,Helsingborg,Group Stage,Czechoslovakia,Argentina,6,1,0,0,0,Czechoslovakia,0
1958,1958-06-15,Sweden,Borås,Group Stage,England,Austria,2,2,0,0,0,,1
1958,1958-06-15,Sweden,Örebro,Group Stage,France,Scotland,2,1,0,0,0,France,0
1958,1958-06-15,Sweden,Sandviken,Group Stage,Hungary,Mexico,4,0,0,0,0,Hungary,0
1958,1958-06-15,Sweden,Eskilstuna,Group Stage,Paraguay,Yugoslavia,3,3,0,0,0,,1
1958,1958-06-15,Sweden,Solna,Group Stage,Sweden,Wales,0,0,0,0,0,,1
1958,1958-06-15,Sweden,Malmö,Group Stage,West Germany,Northern Ireland,2,2,0,0,0,,1
1958,1958-06-17,Sweden,Malmö,Play-off,Northern Ireland,Czechoslovakia,2,1,0,0,0,Northern Ireland,0
1958,1958-06-17,Sweden,Gothenburg,Play-off,Soviet Union,England,1,0,0,0,0,Soviet Union,0
1958,1958-06-17,Sweden,Solna,Play-off,Wales,Hungary,2,1,0,0,0,Wales,0
1958,1958-06-19,Sweden,Gothenburg,Quarter-final,Brazil,Wales,1,0,0,0,0,Brazil,0
1958,1958-06-19,Sweden,Norrköping,Quarter-final,France,Northern Ireland,4,0,0,0,0,France,0
1958,1958-06-19,Sweden,Solna,Quarter-final,Sweden,Soviet Union,2,0,0,0,0,Sweden,0
1958,1958-06-19,Sweden,Malmö,Quarter-final,West Germany,Yugoslavia,1,0,0,0,0,West Germany,0
1958,1958-06-24,Sweden,Solna,Semi-final,Brazil,France,5,2,0,0,0,Brazil,0
1958,1958-06-24,Sweden,Gothenburg,Semi-final,Sweden,West Germany,3,1,0,0,0,Sweden,0
1958,1958-06-28,Sweden,Gothenburg,Third place play-off,France,West Germany,6,3,0,0,0,France,0
1958,1958-06-29,Sweden,Solna,Final,Brazil,Sweden,5,2,0,0,0,Brazil,0
1962,1962-05-30,Chile,Rancagua,Group Stage,Argentina,Bulgaria,1,0,0,0,0,Argentina,0
1962,1962-05-30,Chile,Viña del Mar,Group Stage,Brazil,Mexico,2,0,0,0,0,Brazil,0
1962,1962-05-30,Chile,Santiago,Group Stage,Chile,Switzerland,3,1,0,0,0,Chile,0
1962,1962-05-30,Chile,Arica,Group Stage,Uruguay,Colombia,2,1,0,0,0,Uruguay,0
1962,1962-05-31,Chile,Viña del Mar,Group Stage,Czechoslovakia,Spain,1,0,0,0,0,Czechoslovakia,0
1962,1962-05-31,Chile,Rancagua,Group Stage,Hungary,England,2,1,0,0,0,Hungary,0
1962,1962-05-31,Chile,Arica,Group Stage,Soviet Union,Yugoslavia,2,0,0,0,0,Soviet Union,0
1962,1962-05-31,Chile,Santiago,Group Stage,West Germany,Italy,0,0,0,0,0,,1
1962,1962-06-02,Chile,Viña del Mar,Group Stage,Brazil,Czechoslovakia,0,0,0,0,0,,1
1962,1962-06-02,Chile,Santiago,Group Stage,Chile,Italy,2,0,0,0,0,Chile,0
1962,1962-06-02,Chile,Rancagua,Group Stage,England,Argentina,3,1,0,0,0,England,0
1962,1962-06-02,Chile,Arica,Group Stage,Yugoslavia,Uruguay,3,1,0,0,0,Yugoslavia,0
1962,1962-06-03,Chile,Rancagua,Group Stage,Hungary,Bulgaria,6,1,0,0,0,Hungary,0
1962,1962-06-03,Chile,Arica,Group Stage,Soviet Union,Colombia,4,4,0,0,0,,1
1962,1962-06-03,Chile,Viña del Mar,Group Stage,Spain,Mexico,1,0,0,0,0,Spain,0
1962,1962-06-03,Chile,Santiago,Group Stage,West Germany,Switzerland,2,1,0,0,0,West Germany,0
1962,1962-06-06,Chile,Viña del Mar,Group Stage,Brazil,Spain,2,1,0,0,0,Brazil,0
1962,1962-06-06,Chile,Rancagua,Group Stage,Hungary,Argentina,0,0,0,0,0,,1
1962,1962-06-06,Chile,Arica,Group Stage,Soviet Union,Uruguay,2,1,0,0,0,Soviet Union,0
1962,1962-06-06,Chile,Santiago,Group Stage,West Germany,Chile,2,0,0,0,0,West Germany,0
